1,4100.763,8.0,0.0,0.0,4254.487,4255.385,4254.615,4255.513,4252.821,4250.513,4252.436,4252.564,4253.974,4257.051,4303.718,4990.897,4255.128,4259.487,0.0,0.0
1,4100.771,9.0,0.0,0.0,4248.974,4250.641,4254.103,4253.974,4249.487,4249.615,4247.179,4252.179,4257.308,4256.667,4308.846,4999.744,4253.077,4262.949,0.0,0.0
1,4100.779,10.0,0.0,0.0,4250.769,4254.872,4253.462,4253.718,4252.051,4254.103,4252.692,4256.538,4257.821,4260.256,4307.821,4996.923,4250.769,4263.462,0.0,0.0
1,4100.787,11.0,0.0,0.0,4253.59,4250.641,4253.846,4251.667,4251.795,4250.769,4251.667,4259.103,4255.0,4261.795,4307.436,4995.769,4254.359,4259.744,0.0,0.0
1,4100.795,12.0,0.0,0.0,4251.795,4247.821,4255.897,4249.615,4247.821,4248.333,4247.564,4254.359,4254.872,4259.231,4307.692,4999.103,4259.359,4257.949,0.0,0.0
1,4100.803,13.0,0.0,0.0,4254.487,4258.333,4253.718,4254.487,4249.231,4254.359,4252.692,4249.615,4254.359,4258.077,4303.077,4990.897,4256.154,4262.051,0.0,0.0
1,4100.811,14.0,0.0,0.0,4252.051,4248.974,4256.026,4252.051,4249.103,4247.564,4247.436,4252.436,4256.154,4260.385,4309.487,5001.923,4255.385,4260.641,0.0,0.0
1,4100.818,15.0,0.0,0.0,4253.974,4249.359,4254.359,4251.923,4253.59,4248.846,4252.821,4248.846,4258.718,4261.41,4306.795,4996.667,4257.949,4257.821,0.0,0.0
1,4100.826,16.0,0.0,0.0,4252.949,4251.41,4253.718,4251.538,4253.333,4251.923,4252.179,4249.872,4257.564,4263.077,4306.923,4992.692,4256.538,4261.923,0.0,0.0
1,4100.834,17.0,0.0,0.0,4250.0,4250.769,4255.769,4252.051,4249.744,4250.769,4245.256,4257.692,4255.769,4262.436,4310.769,5001.026,4254.103,4261.026,0.0,0.0
1,4100.842,18.0,0.0,0.0,4253.718,4260.897,4251.795,4257.564,4252.179,4254.359,4250.769,4255.385,4255.641,4261.538,4303.974,4991.667,4255.0,4258.846,0.0,0.0
1,4100.85,19.0,0.0,0.0,4250.769,4250.641,4254.615,4253.59,4250.256,4247.821,4248.205,4253.077,4257.051,4263.59,4308.077,4999.231,4255.128,4261.282,0.0,0.0
1,4100.858,20.0,0.0,0.0,4254.744,4248.974,4255.128,4252.821,4251.667,4251.795,4253.718,4252.051,4255.769,4262.821,4307.564,4998.205,4254.487,4262.436,0.0,0.0
1,4100.866,21.0,0.0,0.0,4256.538,4252.179,4253.205,4253.333,4252.436,4254.615,4252.564,4250.641,4256.282,4261.154,4306.667,4993.846,4255.513,4261.154,0.0,0.0
1,4100.874,22.0,0.0,0.0,4252.179,4249.103,4255.641,4248.974,4250.769,4247.436,4245.641,4252.564,4258.718,4260.897,4312.308,5001.41,4255.513,4258.462,0.0,0.0
